city,area,rooms,bathroom,parking spaces,floor,animal,furniture,rent amount (R$)
São Paulo,180,3,4,4,4,acept,not furnished,15000
São Paulo,64,3,1,1,5,acept,not furnished,1500
São Paulo,190,3,4,3,1,acept,not furnished,5500
São Paulo,400,3,3,4,-,acept,not furnished,14000
Rio de Janeiro,180,4,5,3,4,acept,not furnished,10000
São Paulo,73,1,1,0,8,acept,furnished,3000
São Paulo,64,2,2,2,4,acept,not furnished,2600
São Paulo,65,3,1,1,6,acept,not furnished,2530
São Paulo,400,4,5,4,7,acept,not furnished,12800
São Paulo,48,2,1,1,6,not acept,furnished,5470
São Paulo,40,1,1,1,14,not acept,not furnished,1700
Porto Alegre,61,2,1,0,3,not acept,not furnished,1445
Rio de Janeiro,85,2,1,0,1,acept,not furnished,1700
Belo Horizonte,235,4,3,1,-,acept,not furnished,12000
São Paulo,347,4,5,4,5,acept,furnished,12000
Rio de Janeiro,25,1,1,0,2,acept,not furnished,540
Rio de Janeiro,85,2,2,1,2,acept,not furnished,3600
São Paulo,103,3,3,2,3,acept,furnished,6500
São Paulo,159,3,3,2,-,not acept,not furnished,3300
São Paulo,42,1,1,1,9,acept,not furnished,3600
São Paulo,100,3,2,1,12,acept,not furnished,1946
São Paulo,111,1,2,2,9,acept,not furnished,8000
Porto Alegre,40,1,1,1,2,acept,furnished,1500
Campinas,92,3,2,3,1,acept,furnished,2525
Rio de Janeiro,480,5,6,4,3,acept,not furnished,8000
Belo Horizonte,55,2,2,2,3,acept,not furnished,2000
Belo Horizonte,24,1,1,1,7,not acept,not furnished,1200
São Paulo,50,1,1,1,-,not acept,not furnished,1000
Rio de Janeiro,80,2,1,0,9,acept,not furnished,1600
São Paulo,230,3,2,0,1,acept,not furnished,2500
Porto Alegre,72,2,1,0,1,acept,not furnished,1200
Porto Alegre,90,2,1,0,1,acept,not furnished,1353
Belo Horizonte,22,1,1,0,1,not acept,furnished,700
São Paulo,455,4,5,4,5,acept,not furnished,19500
São Paulo,140,3,2,1,6,not acept,not furnished,2400
Belo Horizonte,23,1,1,1,7,acept,not furnished,1300
Porto Alegre,46,1,1,0,2,acept,not furnished,1070
Campinas,70,1,1,1,2,acept,furnished,2350
Belo Horizonte,150,5,3,0,-,acept,not furnished,3250
Campinas,55,1,1,0,5,acept,not furnished,500
São Paulo,40,1,1,0,-,not acept,not furnished,2040
São Paulo,91,2,1,1,1,acept,not furnished,1750
São Paulo,140,2,1,3,-,acept,not furnished,2500
São Paulo,50,1,1,0,1,acept,not furnished,1300
Campinas,52,2,1,1,7,acept,not furnished,980
Rio de Janeiro,100,3,1,1,1,acept,not furnished,3000
São Paulo,160,4,3,3,3,acept,not furnished,7000
São Paulo,50,1,1,0,-,not acept,not furnished,750
Campinas,137,3,2,1,4,acept,not furnished,1800
Porto Alegre,42,1,1,0,2,acept,not furnished,1200
São Paulo,650,3,7,2,-,acept,not furnished,9900
Rio de Janeiro,90,3,2,0,1,not acept,not furnished,2000
Rio de Janeiro,30,1,1,0,9,acept,furnished,1854
São Paulo,254,4,4,3,7,acept,furnished,6780
São Paulo,40,1,1,1,5,not acept,not furnished,3600
Rio de Janeiro,130,4,2,1,2,not acept,furnished,3300
Campinas,128,3,3,2,1,acept,not furnished,2650
São Paulo,78,2,1,3,-,acept,not furnished,1600
Campinas,42,1,1,0,1,acept,not furnished,690
Campinas,140,3,3,2,8,acept,not furnished,2370
São Paulo,46,1,1,0,3,acept,not furnished,1600
Campinas,50,2,1,1,3,acept,not furnished,1170
São Paulo,54,1,1,1,13,not acept,not furnished,4130
São Paulo,40,1,1,1,13,acept,not furnished,3200
São Paulo,50,2,1,1,5,acept,not furnished,1100
São Paulo,75,3,1,1,1,not acept,not furnished,1800
São Paulo,472,3,2,4,-,acept,not furnished,6500
Porto Alegre,360,5,3,6,-,acept,furnished,4800
São Paulo,308,4,4,3,1,acept,not furnished,15000
São Paulo,50,1,1,1,8,not acept,furnished,3700
São Paulo,540,4,5,5,13,acept,not furnished,5100
São Paulo,321,3,5,2,-,acept,furnished,7318
São Paulo,70,3,2,1,3,acept,not furnished,1290
Campinas,130,3,2,2,4,acept,furnished,2800
São Paulo,170,3,2,2,-,acept,not furnished,4500
São Paulo,60,2,2,1,11,not acept,furnished,5500
Rio de Janeiro,45,1,1,0,4,not acept,furnished,4500
Belo Horizonte,60,2,1,1,1,acept,not furnished,750
São Paulo,340,5,4,2,7,acept,not furnished,12000
Porto Alegre,58,2,1,0,2,acept,not furnished,750
São Paulo,195,4,3,3,7,not acept,not furnished,10000
São Paulo,100,2,4,0,1,acept,not furnished,3000
São Paulo,50,1,1,0,-,acept,not furnished,700
Campinas,54,2,1,1,3,acept,not furnished,999
Belo Horizonte,55,2,1,1,3,acept,not furnished,1300
São Paulo,48,1,1,2,1,acept,furnished,3550
São Paulo,58,2,1,1,6,acept,not furnished,1700
São Paulo,200,3,4,3,19,acept,furnished,8500
Campinas,77,3,1,2,3,acept,not furnished,1500
Belo Horizonte,72,2,1,1,9,acept,not furnished,1200
São Paulo,50,2,1,2,8,not acept,not furnished,1800
Rio de Janeiro,95,2,2,1,11,acept,not furnished,3000
São Paulo,130,3,2,0,1,acept,furnished,4800
Rio de Janeiro,30,1,1,0,6,not acept,not furnished,700
São Paulo,300,4,3,4,9,acept,not furnished,15000
Rio de Janeiro,95,3,2,1,3,acept,not furnished,2245
São Paulo,80,3,1,1,1,acept,not furnished,1750
São Paulo,310,3,3,2,16,not acept,not furnished,15000
Porto Alegre,170,3,2,0,3,acept,furnished,1000
Rio de Janeiro,46,2,1,0,9,not acept,not furnished,820
Rio de Janeiro,97,3,2,0,5,acept,not furnished,2734
São Paulo,130,3,2,1,4,not acept,furnished,7900
Rio de Janeiro,30,1,1,0,2,not acept,not furnished,1140
São Paulo,40,1,1,1,11,not acept,not furnished,2600
São Paulo,90,3,2,2,6,not acept,furnished,2100
São Paulo,89,2,2,2,8,acept,furnished,7700
São Paulo,240,3,3,5,1,acept,not furnished,3500
São Paulo,106,3,2,0,6,acept,not furnished,2430
São Paulo,80,2,1,1,18,not acept,not furnished,1500
São Paulo,22,1,1,1,25,acept,not furnished,2200
São Paulo,141,4,3,2,3,acept,not furnished,4010
São Paulo,340,4,6,6,-,acept,furnished,15000
São Paulo,105,4,2,2,3,acept,not furnished,6500
São Paulo,70,3,1,1,2,acept,not furnished,1290
São Paulo,200,3,2,1,8,acept,not furnished,8000
Campinas,62,2,1,0,1,acept,not furnished,709
São Paulo,74,2,3,2,24,acept,not furnished,3200
Rio de Janeiro,333,5,4,3,5,acept,not furnished,7000
São Paulo,250,4,2,5,-,acept,not furnished,4000
São Paulo,70,1,1,1,10,acept,furnished,3590
Rio de Janeiro,120,3,2,2,1,acept,furnished,5500
Porto Alegre,35,1,1,0,1,acept,not furnished,960
Rio de Janeiro,67,2,1,0,4,acept,not furnished,1529
São Paulo,220,4,3,4,11,acept,furnished,3000
Campinas,80,3,2,2,17,acept,not furnished,2500
São Paulo,57,1,1,1,5,acept,not furnished,4800
Porto Alegre,100,2,2,2,-,acept,not furnished,2200
Rio de Janeiro,60,1,1,0,5,acept,not furnished,750
Campinas,87,3,2,1,12,acept,furnished,1450
São Paulo,530,4,4,6,-,acept,not furnished,9520
São Paulo,35,1,1,0,-,acept,not furnished,700
São Paulo,140,3,2,2,-,acept,not furnished,3000
São Paulo,45,2,2,0,-,not acept,not furnished,1630
São Paulo,70,1,1,1,12,acept,furnished,3500
São Paulo,140,3,3,1,1,acept,not furnished,1360
Belo Horizonte,80,3,2,1,7,acept,not furnished,2000
São Paulo,50,1,1,0,-,not acept,not furnished,1150
São Paulo,108,3,2,2,12,not acept,not furnished,2900
São Paulo,60,3,1,1,15,acept,furnished,2200
São Paulo,30,1,1,1,14,not acept,furnished,3500
São Paulo,110,3,3,2,2,acept,furnished,3800
Rio de Janeiro,70,2,1,1,5,acept,furnished,1100
São Paulo,360,3,5,4,22,acept,not furnished,3635
Campinas,348,3,3,3,-,acept,not furnished,6000
São Paulo,270,3,4,3,10,acept,not furnished,7900
Rio de Janeiro,86,2,2,1,1,not acept,furnished,5500
São Paulo,100,3,4,2,6,not acept,not furnished,3000
São Paulo,30,1,1,1,10,acept,furnished,1850
São Paulo,146,3,4,3,20,acept,furnished,10000
Belo Horizonte,100,3,3,1,1,acept,not furnished,1600
Rio de Janeiro,185,3,2,1,3,acept,not furnished,6900
São Paulo,300,3,5,2,7,acept,not furnished,4600
São Paulo,120,3,4,0,-,acept,not furnished,3200
São Paulo,195,3,3,2,-,acept,not furnished,2990
São Paulo,110,1,3,2,6,acept,not furnished,8000
São Paulo,210,3,3,3,17,acept,not furnished,7000
Campinas,400,4,6,3,-,acept,not furnished,6800
Belo Horizonte,42,2,1,1,4,acept,not furnished,690
Belo Horizonte,180,3,1,0,-,acept,not furnished,3400
Campinas,329,4,2,2,9,acept,not furnished,6300
São Paulo,44,1,1,0,1,acept,not furnished,1400
Belo Horizonte,28,1,1,1,-,not acept,furnished,1250
Rio de Janeiro,90,3,2,1,2,not acept,furnished,3800
São Paulo,90,2,1,0,2,acept,not furnished,2150
São Paulo,200,2,1,0,-,acept,not furnished,2800
Porto Alegre,240,3,4,3,-,acept,not furnished,6000
Porto Alegre,55,2,1,0,19,acept,not furnished,1200
Belo Horizonte,90,3,2,0,8,not acept,not furnished,4200
São Paulo,85,3,1,2,6,acept,not furnished,1900
São Paulo,255,4,4,3,13,acept,furnished,11900
São Paulo,280,5,2,1,-,acept,not furnished,8000
Rio de Janeiro,32,1,1,0,8,acept,not furnished,1400
Belo Horizonte,29,1,1,0,1,not acept,not furnished,1100
São Paulo,48,1,1,1,15,acept,furnished,3000
Campinas,170,3,2,2,-,acept,not furnished,2300
Belo Horizonte,45,1,1,1,3,not acept,furnished,3000
Campinas,341,4,6,4,-,acept,not furnished,13000
Porto Alegre,80,2,2,0,-,acept,furnished,1638
Rio de Janeiro,153,3,2,1,2,acept,not furnished,2550
Rio de Janeiro,120,3,2,1,2,acept,not furnished,2200
São Paulo,33,1,1,0,3,acept,not furnished,1650
São Paulo,180,4,4,2,10,acept,not furnished,5500
Campinas,84,3,1,1,3,acept,not furnished,1200
São Paulo,73,3,2,1,12,acept,not furnished,2700
São Paulo,50,1,2,1,9,not acept,furnished,3000
São Paulo,40,1,1,1,5,not acept,not furnished,4320
São Paulo,216,3,4,4,7,acept,furnished,15000
São Paulo,44,1,1,1,8,acept,not furnished,2300
Belo Horizonte,120,3,2,2,1,not acept,not furnished,1700
Porto Alegre,150,3,3,2,10,acept,furnished,8900
São Paulo,136,3,2,3,12,acept,furnished,2500
Porto Alegre,54,1,1,0,2,acept,not furnished,1000
São Paulo,100,2,1,1,5,acept,furnished,3800
São Paulo,50,2,1,1,1,acept,not furnished,1200
Campinas,60,2,1,0,-,not acept,not furnished,800
Rio de Janeiro,125,3,2,1,5,acept,furnished,3500
Rio de Janeiro,28,1,1,0,1,acept,not furnished,1870
Porto Alegre,78,2,1,0,3,acept,not furnished,1480
Porto Alegre,46,1,1,0,6,acept,not furnished,850
São Paulo,35,1,1,1,8,not acept,furnished,2896
São Paulo,104,3,2,2,2,acept,not furnished,4200
São Paulo,215,3,3,2,1,not acept,furnished,15000
Campinas,100,3,2,2,-,acept,not furnished,2250
Belo Horizonte,30,1,1,1,-,not acept,not furnished,705
Porto Alegre,43,1,1,0,3,acept,furnished,1500
São Paulo,234,3,4,3,13,acept,not furnished,7000
São Paulo,37,1,1,0,4,acept,furnished,1730
São Paulo,50,2,1,0,1,acept,not furnished,2000
Rio de Janeiro,71,2,2,1,12,acept,furnished,3500
São Paulo,118,3,3,2,17,acept,furnished,3890
Campinas,122,3,2,1,4,acept,not furnished,1750
Rio de Janeiro,58,2,2,1,3,acept,not furnished,1200
São Paulo,270,3,3,2,-,acept,not furnished,9800
Porto Alegre,90,3,2,2,9,acept,not furnished,2500
São Paulo,400,4,3,3,-,acept,not furnished,8000
Campinas,155,3,3,2,-,acept,not furnished,5500
Rio de Janeiro,85,2,1,0,8,acept,furnished,2975
São Paulo,280,4,4,4,1,acept,furnished,12000
Rio de Janeiro,30,1,1,0,8,acept,furnished,2000
São Paulo,54,1,2,0,7,acept,not furnished,3500
Porto Alegre,25,1,1,0,8,acept,not furnished,750
Belo Horizonte,176,4,2,2,-,acept,not furnished,4500
São Paulo,570,4,6,4,-,acept,not furnished,10500
Belo Horizonte,95,2,2,1,10,acept,not furnished,1600
São Paulo,30,1,1,0,4,acept,not furnished,1153
São Paulo,250,3,4,3,-,acept,not furnished,3571
São Paulo,98,3,3,2,-,acept,not furnished,2500
Belo Horizonte,68,2,2,2,3,acept,not furnished,800
São Paulo,83,3,2,2,7,acept,not furnished,3690
Belo Horizonte,70,2,2,2,6,acept,not furnished,2250
Belo Horizonte,50,2,1,1,3,acept,not furnished,1000
São Paulo,480,4,5,3,-,acept,not furnished,4100
São Paulo,250,3,2,8,-,acept,not furnished,10000
São Paulo,191,4,3,3,13,not acept,not furnished,9500
São Paulo,140,3,3,3,7,not acept,not furnished,8000
São Paulo,49,1,1,1,5,acept,not furnished,2600
Belo Horizonte,362,5,4,4,15,not acept,not furnished,7900
Rio de Janeiro,61,2,1,0,3,acept,not furnished,1297
Porto Alegre,156,3,2,1,-,acept,not furnished,1615
São Paulo,179,3,2,1,3,acept,not furnished,5400
Rio de Janeiro,120,3,3,2,5,acept,furnished,2800
Belo Horizonte,200,4,2,2,-,acept,furnished,12000
São Paulo,185,3,3,3,20,acept,not furnished,5600
São Paulo,120,2,2,0,1,acept,not furnished,3600
São Paulo,50,2,1,1,13,acept,not furnished,1715
Belo Horizonte,400,3,3,2,-,acept,not furnished,4800
São Paulo,240,3,4,2,-,acept,not furnished,8200
São Paulo,60,2,1,1,13,acept,furnished,1520
São Paulo,100,2,1,3,-,not acept,not furnished,2700
São Paulo,250,4,4,3,-,not acept,not furnished,7500
Porto Alegre,100,4,2,1,2,acept,not furnished,1820
Rio de Janeiro,72,1,2,1,6,acept,not furnished,2000
Rio de Janeiro,70,2,1,0,2,acept,furnished,2000
São Paulo,16,1,1,0,2,acept,not furnished,2700
São Paulo,98,3,2,2,10,acept,not furnished,4500
São Paulo,170,3,3,1,6,acept,not furnished,2060
São Paulo,45,2,1,0,-,not acept,not furnished,1450
São Paulo,90,2,2,1,7,acept,furnished,5500
São Paulo,30,1,1,1,11,acept,furnished,2570
São Paulo,140,3,3,2,3,acept,not furnished,4905
São Paulo,90,2,2,2,2,acept,not furnished,3640
Belo Horizonte,62,2,2,0,1,acept,not furnished,1300
Rio de Janeiro,80,2,2,0,6,acept,not furnished,2500
São Paulo,40,1,1,0,-,not acept,not furnished,750
Rio de Janeiro,65,1,1,0,-,acept,not furnished,1800
São Paulo,300,3,2,1,-,acept,not furnished,3900
São Paulo,340,4,4,3,-,acept,not furnished,10000
São Paulo,72,2,2,1,6,acept,not furnished,5270
São Paulo,250,4,3,3,-,not acept,not furnished,13000
Rio de Janeiro,100,2,2,3,12,not acept,not furnished,3478
São Paulo,45,1,1,1,1,not acept,furnished,5520
Porto Alegre,98,3,1,0,1,not acept,not furnished,12750
Belo Horizonte,164,3,2,2,-,acept,not furnished,3200
São Paulo,250,3,3,4,-,acept,furnished,6500
Rio de Janeiro,28,1,1,0,3,acept,furnished,1189
Rio de Janeiro,60,2,1,0,11,not acept,furnished,1650
São Paulo,105,3,3,2,4,not acept,not furnished,2720
São Paulo,220,2,4,3,26,not acept,not furnished,12960
Rio de Janeiro,250,5,3,1,-,acept,not furnished,4000
São Paulo,171,3,3,1,13,acept,not furnished,5100
Rio de Janeiro,156,4,3,2,4,acept,not furnished,3900
São Paulo,150,3,5,3,-,acept,furnished,4500
Belo Horizonte,75,3,2,1,3,acept,not furnished,1500
São Paulo,254,3,5,4,18,acept,not furnished,10000
São Paulo,68,1,2,1,6,acept,furnished,9000
São Paulo,55,2,1,0,5,not acept,not furnished,1528
Porto Alegre,40,1,1,0,10,acept,not furnished,800
São Paulo,230,2,3,1,1,acept,furnished,12000
Porto Alegre,70,2,2,0,3,not acept,furnished,1995
São Paulo,170,4,5,2,-,acept,not furnished,3700
Porto Alegre,40,1,1,1,1,acept,not furnished,1050
São Paulo,45,1,1,1,1,not acept,furnished,5520
São Paulo,270,3,4,3,4,acept,furnished,7500
Campinas,54,2,1,1,10,acept,not furnished,1500
Campinas,291,4,3,2,-,acept,not furnished,3300
Belo Horizonte,86,2,1,1,1,acept,not furnished,1310
São Paulo,77,2,1,1,5,acept,not furnished,2200
São Paulo,86,3,2,2,10,acept,furnished,2900
Campinas,200,3,4,2,4,not acept,not furnished,2000
São Paulo,90,2,2,2,16,not acept,furnished,4800
São Paulo,64,2,2,2,12,acept,not furnished,3400
Porto Alegre,54,2,1,2,2,acept,not furnished,1310
Porto Alegre,387,7,5,3,-,acept,furnished,6000
São Paulo,100,2,3,2,20,not acept,furnished,10000
São Paulo,50,2,2,1,9,acept,not furnished,1800
Belo Horizonte,520,3,3,4,20,not acept,not furnished,12000
São Paulo,23,1,1,0,25,acept,not furnished,2100
Rio de Janeiro,60,1,1,0,3,acept,not furnished,1580
São Paulo,96,2,1,1,4,not acept,not furnished,3000
São Paulo,140,3,1,0,-,acept,not furnished,2700
Rio de Janeiro,103,3,2,0,4,acept,not furnished,2750
São Paulo,148,4,4,4,10,acept,furnished,2000
São Paulo,172,4,3,1,-,acept,not furnished,3500
São Paulo,93,2,3,2,5,acept,not furnished,3200
São Paulo,72,2,2,1,4,acept,not furnished,2300
Campinas,68,2,1,1,1,acept,not furnished,1500
São Paulo,350,4,3,4,-,acept,not furnished,4000
Rio de Janeiro,70,2,2,1,1,acept,furnished,3500
São Paulo,400,5,4,3,-,acept,not furnished,6900
Porto Alegre,38,1,1,0,1,acept,not furnished,690
São Paulo,107,2,2,1,12,not acept,not furnished,8400
São Paulo,38,1,1,0,1,not acept,not furnished,950
São Paulo,111,3,2,0,7,acept,not furnished,2500
São Paulo,140,4,3,2,10,acept,not furnished,3800
São Paulo,35,1,1,0,-,acept,not furnished,1150
São Paulo,178,3,3,4,12,not acept,furnished,15000
São Paulo,200,2,2,1,10,acept,furnished,9500
São Paulo,33,1,1,0,1,not acept,not furnished,1000
Belo Horizonte,90,3,2,1,2,not acept,not furnished,1600
Rio de Janeiro,65,2,1,0,1,not acept,not furnished,1600
São Paulo,320,3,3,8,-,acept,not furnished,5500
Porto Alegre,68,2,1,0,2,acept,not furnished,1320
Porto Alegre,180,6,2,3,1,acept,not furnished,4800
São Paulo,50,2,1,1,-,not acept,not furnished,1300
São Paulo,137,3,2,1,6,acept,not furnished,4700
São Paulo,165,3,2,2,8,acept,furnished,6500
São Paulo,180,2,2,1,15,acept,not furnished,5350
São Paulo,220,4,4,3,12,acept,not furnished,5100
Belo Horizonte,85,2,2,1,1,acept,not furnished,2800
Rio de Janeiro,37,1,1,0,8,not acept,furnished,1400
Porto Alegre,64,2,3,2,2,acept,not furnished,2750
Rio de Janeiro,97,2,2,1,7,acept,not furnished,4400
Belo Horizonte,90,3,2,1,1,acept,not furnished,1300
Rio de Janeiro,130,3,2,1,9,acept,not furnished,4500
Campinas,128,4,2,1,7,not acept,not furnished,3400
São Paulo,58,2,2,1,12,not acept,furnished,4000
Belo Horizonte,76,2,1,1,2,not acept,not furnished,900
São Paulo,220,2,4,2,-,acept,furnished,6200
São Paulo,40,1,1,0,-,not acept,not furnished,780
São Paulo,235,3,4,3,2,acept,not furnished,2550
Belo Horizonte,45,1,1,0,9,acept,not furnished,1100
São Paulo,47,2,1,1,4,not acept,not furnished,1100
Belo Horizonte,471,5,6,3,-,acept,not furnished,14000
Campinas,50,1,1,0,4,acept,not furnished,520
Belo Horizonte,344,3,4,4,16,not acept,not furnished,15000
São Paulo,38,1,1,1,12,not acept,furnished,1850
Porto Alegre,42,2,1,0,-,acept,not furnished,860
Belo Horizonte,60,1,1,1,9,acept,not furnished,1400
São Paulo,500,4,6,4,-,acept,not furnished,13000
São Paulo,49,2,1,1,5,acept,not furnished,1700
Belo Horizonte,48,2,1,1,3,acept,not furnished,900
São Paulo,45,2,1,0,-,not acept,not furnished,1300
Porto Alegre,72,2,2,1,2,acept,not furnished,1200
Belo Horizonte,400,3,2,1,-,acept,not furnished,1600
São Paulo,28,1,1,0,1,not acept,furnished,1750
Rio de Janeiro,189,3,2,2,9,acept,not furnished,8500
São Paulo,160,3,2,0,12,acept,not furnished,3900
Rio de Janeiro,330,4,4,2,21,acept,not furnished,15000
São Paulo,200,3,5,4,6,acept,not furnished,1720
São Paulo,375,4,5,5,1,acept,not furnished,15000
São Paulo,68,2,2,1,7,acept,furnished,1877
São Paulo,70,2,1,1,8,acept,not furnished,2500
Rio de Janeiro,110,3,2,0,10,not acept,furnished,2950
São Paulo,103,3,3,2,7,not acept,not furnished,5600
Rio de Janeiro,26,1,1,0,2,not acept,not furnished,1500
Belo Horizonte,88,3,2,2,2,not acept,not furnished,1200
São Paulo,165,3,4,3,7,acept,not furnished,4500
São Paulo,80,2,2,0,-,not acept,not furnished,1100
Porto Alegre,90,3,2,2,9,acept,not furnished,2780
São Paulo,380,4,1,2,-,not acept,not furnished,4000
São Paulo,174,3,4,2,2,acept,not furnished,6000
São Paulo,128,4,5,1,-,acept,not furnished,6800
São Paulo,160,3,4,4,2,acept,not furnished,2100
Rio de Janeiro,168,3,2,0,1,acept,not furnished,3700
Campinas,100,3,2,2,1,acept,furnished,2200
Rio de Janeiro,69,2,1,1,9,acept,furnished,1370
Belo Horizonte,300,3,3,0,-,acept,furnished,5000
Belo Horizonte,163,4,4,0,14,acept,not furnished,7500
São Paulo,86,3,1,1,5,acept,furnished,2200
São Paulo,236,4,3,3,13,acept,not furnished,1600
Rio de Janeiro,112,3,2,0,7,acept,not furnished,3900
São Paulo,600,5,5,6,-,acept,not furnished,12750
Campinas,256,4,5,4,8,acept,not furnished,3000
São Paulo,220,3,4,2,-,not acept,not furnished,3500
São Paulo,257,4,4,4,14,not acept,not furnished,12000
Belo Horizonte,75,3,1,1,4,acept,not furnished,1500
Rio de Janeiro,400,3,1,1,-,acept,furnished,7650
São Paulo,560,4,6,5,-,acept,not furnished,6550
São Paulo,220,4,4,5,3,not acept,furnished,4600
Rio de Janeiro,70,1,1,1,4,acept,not furnished,3500
Belo Horizonte,19,1,1,0,1,not acept,not furnished,1200
São Paulo,35,1,1,0,-,acept,not furnished,900
São Paulo,70,1,1,1,4,acept,not furnished,2600
São Paulo,40,1,1,0,12,not acept,furnished,3300
Porto Alegre,37,1,1,0,2,acept,not furnished,1500
São Paulo,180,2,2,1,12,acept,not furnished,9000
Rio de Janeiro,60,1,1,0,2,not acept,not furnished,2300
Rio de Janeiro,90,3,2,1,9,acept,not furnished,2050
São Paulo,208,4,2,4,-,acept,not furnished,4500
Rio de Janeiro,160,3,2,1,11,acept,not furnished,4700
Belo Horizonte,180,4,2,1,3,acept,furnished,3610
Porto Alegre,150,4,3,0,-,acept,not furnished,3300
Campinas,75,2,1,1,-,acept,not furnished,1080
Rio de Janeiro,90,2,2,1,4,acept,not furnished,1039
São Paulo,170,4,2,2,-,acept,not furnished,2900
São Paulo,193,2,4,4,7,acept,not furnished,13000
São Paulo,40,1,1,0,22,acept,furnished,2300
São Paulo,45,1,1,1,5,acept,furnished,3850
São Paulo,116,3,4,2,4,acept,not furnished,8000
São Paulo,67,2,2,1,1,acept,furnished,2300
São Paulo,40,1,1,0,8,not acept,furnished,1920
São Paulo,140,2,3,1,-,acept,not furnished,3850
Campinas,52,2,1,1,7,acept,not furnished,980
São Paulo,350,3,4,6,-,acept,not furnished,3850
São Paulo,420,3,4,4,-,not acept,not furnished,6000
Porto Alegre,204,4,4,2,-,acept,not furnished,3440
São Paulo,110,2,2,1,-,acept,not furnished,2200
São Paulo,645,5,8,8,-,acept,not furnished,15000
São Paulo,260,4,5,5,3,acept,not furnished,11000
São Paulo,160,2,1,0,12,not acept,not furnished,2400
São Paulo,50,2,1,0,-,acept,not furnished,1200
Rio de Janeiro,40,1,2,0,7,acept,not furnished,1800
Rio de Janeiro,60,2,1,0,1,acept,furnished,3000
Rio de Janeiro,30,1,1,0,12,acept,not furnished,1000
Rio de Janeiro,75,3,2,0,8,acept,not furnished,1615
Rio de Janeiro,78,3,3,1,2,acept,not furnished,2850
Belo Horizonte,140,4,2,2,1,acept,not furnished,3500
Campinas,500,3,7,5,14,acept,furnished,7950
Porto Alegre,80,1,1,0,-,acept,not furnished,971
Porto Alegre,182,3,4,2,-,acept,not furnished,2900
São Paulo,90,2,1,1,-,acept,not furnished,2735
São Paulo,103,3,2,1,2,acept,not furnished,1500
Porto Alegre,180,3,2,3,2,acept,furnished,5100
Belo Horizonte,32,1,1,0,-,not acept,furnished,1100
Campinas,52,1,1,1,6,acept,not furnished,750
Rio de Janeiro,75,4,1,0,2,acept,not furnished,2200
Belo Horizonte,290,4,5,4,-,acept,not furnished,6000
Rio de Janeiro,50,1,1,1,6,acept,furnished,2000
São Paulo,550,5,6,4,-,acept,not furnished,15000
São Paulo,216,4,4,4,9,acept,not furnished,2800
São Paulo,444,4,4,5,-,acept,furnished,10000
Porto Alegre,69,3,2,1,5,acept,not furnished,1850
Belo Horizonte,76,2,1,2,3,not acept,furnished,2100
São Paulo,180,3,5,3,3,acept,not furnished,8100
São Paulo,445,3,5,4,-,acept,furnished,15000
São Paulo,156,3,4,3,8,acept,not furnished,4200
São Paulo,35,1,1,0,-,acept,not furnished,1100
São Paulo,130,3,4,3,7,acept,not furnished,2400
Porto Alegre,92,3,2,1,4,acept,furnished,3200
São Paulo,200,3,2,4,-,acept,not furnished,8500
São Paulo,50,2,1,1,13,acept,not furnished,1300
Belo Horizonte,50,2,1,0,-,not acept,not furnished,850
São Paulo,155,3,3,2,2,acept,furnished,12000
Belo Horizonte,1000,5,4,3,15,acept,not furnished,7000
Rio de Janeiro,42,1,1,0,8,not acept,furnished,1920
São Paulo,58,2,1,0,13,acept,not furnished,1480
São Paulo,35,1,1,1,6,not acept,furnished,3365
Belo Horizonte,27,1,1,0,1,not acept,not furnished,1167
Belo Horizonte,16,1,1,0,1,not acept,not furnished,650
Belo Horizonte,94,3,2,1,1,not acept,furnished,1900
Porto Alegre,83,3,2,1,11,acept,not furnished,2500
Belo Horizonte,360,5,4,4,-,acept,not furnished,9000
Belo Horizonte,360,5,2,2,1,acept,not furnished,4600
Campinas,430,4,5,5,-,acept,not furnished,13000
Belo Horizonte,29,1,1,0,1,acept,not furnished,1100
Rio de Janeiro,120,3,2,0,6,acept,not furnished,2490
São Paulo,50,1,1,1,6,acept,not furnished,4500
Porto Alegre,60,2,1,0,-,acept,not furnished,650
São Paulo,45,2,2,0,-,not acept,not furnished,1630
Rio de Janeiro,250,3,2,2,-,acept,not furnished,12000
São Paulo,200,3,2,2,-,acept,furnished,4700
Rio de Janeiro,70,2,1,1,9,acept,not furnished,2500
São Paulo,48,1,1,0,-,not acept,not furnished,1100
São Paulo,70,2,1,1,2,not acept,not furnished,2500
São Paulo,73,2,2,1,6,acept,furnished,5000
São Paulo,90,2,1,0,1,not acept,not furnished,2700
Porto Alegre,45,1,1,0,1,acept,not furnished,640
São Paulo,80,2,2,2,-,not acept,not furnished,3600
São Paulo,106,3,2,2,6,acept,not furnished,5520
Belo Horizonte,45,2,1,1,3,acept,not furnished,850
São Paulo,315,4,4,2,14,acept,not furnished,7450
São Paulo,287,3,5,0,16,acept,not furnished,12000
Belo Horizonte,230,4,3,2,8,acept,not furnished,5500
São Paulo,42,1,2,1,6,not acept,not furnished,2500
Rio de Janeiro,152,2,2,1,3,acept,not furnished,1500
Campinas,75,3,1,2,3,acept,not furnished,1300
São Paulo,94,3,2,2,3,acept,not furnished,2000
Rio de Janeiro,70,2,2,0,5,not acept,not furnished,2100
